	Site Name	Type	Billing Address	Billing City	Billing State/Province	Billing Zip/Postal Code	Grant	# Full Time Slots	# Three Quarter Time Slots	# Half Time Slots	# Reduced Half Time Slots	# Quarter-Time Slots	# Minimum Time Slots	# Abbreviated Time Slots	full_address	googleMaps_lat_long	googleMaps_clean_address
203	BridgeBuilders	Nonprofit	6601 Bexar St	Dallas	TX	75215-5543	21-22 CitySquare ACTX				8.0		6		6601 Bexar St, Dallas, TX 75215-5543	(32.737489, -96.7538646)	6601 Bexar St, Dallas, TX 75215, USA
204	Carter's House	Nonprofit	2500 Romine Ave	Dallas	TX	75215-3755	21-22 CitySquare ACTX					6			2500 Romine Ave, Dallas, TX 75215-3755	(32.7589501, -96.7634708)	2500 Romine Ave, Dallas, TX 75215, USA
205	CitySquare - Community Life	Nonprofit	511 N Akard St	Dallas	TX	75201-6601	21-22 CitySquare ACTX					3			511 N Akard St, Dallas, TX 75201-6601	(32.7837585, -96.8008146)	511 N Akard St, Dallas, TX 75201, USA
206	CitySquare - Cottages	Nonprofit	1625 S Malcolm X Blvd	Dallas	TX	75226-2129	21-22 CitySquare ACTX					3			1625 S Malcolm X Blvd, Dallas, TX 75226-2129	(32.7786419, -96.7791848)	1625 S Malcolm X Blvd, Dallas, TX 75226, USA
207	CitySquare - WFE	Nonprofit	1610 S Malcolm X Blvd	Dallas	TX	75226-2101	21-22 CitySquare ACTX					6			1610 S Malcolm X Blvd, Dallas, TX 75226-2101	(32.7784615, -96.77828129999999)	Community Health Services, 1610 S Malcolm X Blvd, Dallas, TX 75226, USA
208	CitySquare - Food	Nonprofit	1610 S Malcolm X Blvd	Dallas	TX	75226-2101	21-22 CitySquare ACTX				2.0	30	15		1610 S Malcolm X Blvd, Dallas, TX 75226-2101	(32.7784615, -96.77828129999999)	Community Health Services, 1610 S Malcolm X Blvd, Dallas, TX 75226, USA
209	CitySquare - Food Pantry	Nonprofit	1610 S Malcolm X Blvd	Dallas	TX	75226-2101	21-22 CitySquare ACTX					16			1610 S Malcolm X Blvd, Dallas, TX 75226-2101	(32.7784615, -96.77828129999999)	Community Health Services, 1610 S Malcolm X Blvd, Dallas, TX 75226, USA
210	CitySquare - Food Recovery	Nonprofit	1610 S Malcolm X Blvd	Dallas	TX	75226-2101	21-22 CitySquare ACTX					9			1610 S Malcolm X Blvd, Dallas, TX 75226-2101	(32.7784615, -96.77828129999999)	Community Health Services, 1610 S Malcolm X Blvd, Dallas, TX 75226, USA
211	CitySquare - HOT	Nonprofit	1610 S Malcolm X Blvd	Dallas	TX	75226-2101	21-22 CitySquare ACTX					3			1610 S Malcolm X Blvd, Dallas, TX 75226-2101	(32.7784615, -96.77828129999999)	Community Health Services, 1610 S Malcolm X Blvd, Dallas, TX 75226, USA
212	CitySquare - NSS Walk-In	Nonprofit	1610 S Malcolm X Blvd	Dallas	TX	75226-2101	21-22 CitySquare ACTX					9			1610 S Malcolm X Blvd, Dallas, TX 75226-2101	(32.7784615, -96.77828129999999)	Community Health Services, 1610 S Malcolm X Blvd, Dallas, TX 75226, USA
213	CitySquare - Paris	Nonprofit	2515 Bonham St	Paris	TX	75460-3711	21-22 CitySquare ACTX					6	9		2515 Bonham St, Paris, TX 75460-3711	(33.6598483, -95.5837593)	2515 Bonham St, Paris, TX 75460, USA
214	CitySquare - TRAC Dallas Workforce	Nonprofit	3108 Live Oak St	Dallas	TX	75204-6174	21-22 CitySquare ACTX					3			3108 Live Oak St, Dallas, TX 75204-6174	(32.7912417, -96.78588350000001)	3108 Live Oak St, Dallas, TX 75204, USA
215	CitySquare - TRAC Forth Worth Workforce	Nonprofit	4532 Altamesa Blvd	Fort Worth	TX	76133-6216	21-22 CitySquare ACTX					3			4532 Altamesa Blvd, Fort Worth, TX 76133-6216	(32.6483446, -97.39287619999999)	4532 Altamesa Blvd, Fort Worth, TX 76133, USA
216	CitySquare - TRAC Outreach	Nonprofit	3108 Live Oak St	Dallas	TX	75204-6174	21-22 CitySquare ACTX					3			3108 Live Oak St, Dallas, TX 75204-6174	(32.7912417, -96.78588350000001)	3108 Live Oak St, Dallas, TX 75204, USA
217	CitySquare - TRAC Housing	Nonprofit	3108 Live Oak St	Dallas	TX	75204-6174	21-22 CitySquare ACTX					3			3108 Live Oak St, Dallas, TX 75204-6174	(32.7912417, -96.78588350000001)	3108 Live Oak St, Dallas, TX 75204, USA
218	Cornerstone Baptist Church	Nonprofit	2815 S Ervay St	Dallas	TX	75215-3110	21-22 CitySquare ACTX				4.0		5		2815 S Ervay St, Dallas, TX 75215-3110	(32.7627253, -96.7791419)	2815 S Ervay St, Dallas, TX 75215, USA
219	Crossroads Community Services	Nonprofit	4500 S Cockrell Hill Rd	Dallas	TX	75236-2028	21-22 CitySquare ACTX					27			4500 S Cockrell Hill Rd, Dallas, TX 75236-2028	(32.6889959, -96.8905642)	4500 S Cockrell Hill Rd, Dallas, TX 75236, USA
220	Heart House	Nonprofit	8515 Park Ln	Dallas	TX	75231-6396	21-22 CitySquare ACTX				4.0		3		8515 Park Ln, Dallas, TX 75231-6396	(32.8707541, -96.7563624)	8515 Park Ln, Dallas, TX 75231, USA
221	iLookLikeLove	Nonprofit	2711 S Ervay St, # 102	Dallas	TX	75215-2710	21-22 CitySquare ACTX						6		2711 S Ervay St, # 102, Dallas, TX 75215-2710	(32.763737, -96.7803086)	2711 S Ervay St #102, Dallas, TX 75215, USA
222	Junior Achievement	Nonprofit	Po Box 191405	Dallas	TX	75219-1405	21-22 CitySquare ACTX					6			Po Box 191405, Dallas, TX 75219-1405	(32.8122051, -96.81098519999999)	Dallas, TX 75219, USA
223	Metrocrest Social Services	Nonprofit	13801 Hutton Dr, Ste 150	Farmers Branch	TX	75234-9040	21-22 CitySquare ACTX					9			13801 Hutton Dr, Ste 150, Farmers Branch, TX 75234-9040	(32.9302789, -96.9160409)	13801 Hutton Dr #150, Farmers Branch, TX 75234, USA
224	Readers 2 Leaders	Nonprofit	2223 Singleton Blvd, Ste 140	Dallas	TX	75212-3759	21-22 CitySquare ACTX				4.0		4		2223 Singleton Blvd, Ste 140, Dallas, TX 75212-3759	(32.7798996, -96.8594067)	2223 Singleton Blvd # 140, Dallas, TX 75212, USA
225	Salvation Army - Dallas	Nonprofit	5302 Harry Hines Blvd	Dallas	TX	75235-7209	21-22 CitySquare ACTX					6			5302 Harry Hines Blvd, Dallas, TX 75235-7209	(32.8140334, -96.8377795)	5302 Harry Hines Blvd, Dallas, TX 75235, USA
226	Sharing Life Community Outreach	Nonprofit	3544 E Emporium Cir	Mesquite	TX	75150-6524	21-22 CitySquare ACTX					19	5		3544 E Emporium Cir, Mesquite, TX 75150-6524	(32.8154731, -96.6207506)	3544 E Emporium Cir, Mesquite, TX 75150, USA
227	St. Philips Community Center	Nonprofit	1600 Pennsylvania Ave	Dallas	TX	75215-3239	21-22 CitySquare ACTX						10		1600 Pennsylvania Ave, Dallas, TX 75215-3239	(32.759242, -96.77537369999999)	1600 Pennsylvania Ave, Dallas, TX 75215, USA
228	The Bridge	Nonprofit	1818 Corsicana St	Dallas	TX	75201-6102	21-22 CitySquare ACTX					6			1818 Corsicana St, Dallas, TX 75201-6102	(32.775154, -96.791545)	1818 Corsicana St, Dallas, TX 75201, USA
229	Vickery Meadow Youth Development Foundation	Nonprofit	7001 Fair Oaks Ave	Dallas	TX	75231-6024	21-22 CitySquare ACTX				10.0		14		7001 Fair Oaks Ave, Dallas, TX 75231-6024	(32.8724192, -96.7605775)	7001 Fair Oaks Ave, Dallas, TX 75231, USA
230	Welsey Rankin Community Center	Nonprofit	3100 Crossman Ave	Dallas	TX	75212-3914	21-22 CitySquare ACTX				6.0		14		3100 Crossman Ave, Dallas, TX 75212-3914	(32.7796585, -96.84058669999999)	3100 Crossman Ave, Dallas, TX 75212, USA
231	YMCA	Nonprofit	6701 S Hampton Rd	Dallas	TX	75232-3320	21-22 CitySquare ACTX				4.0		12		6701 S Hampton Rd, Dallas, TX 75232-3320	(32.6659511, -96.8576401)	6701 S Hampton Rd, Dallas, TX 75232, USA
232	College Forward-Austin HQ	Nonprofit	1023 Springdale Rd, Bldg 15	Austin	TX	78721	21-22 College Forward ACTX						18		1023 Springdale Rd, Bldg 15, Austin, TX 78721	(30.267597, -97.69267149999999)	1023 Springdale Rd #15, Austin, TX 78721, USA
233	Akins High School	Education-K thru 12	10701 S 1st St	Austin	TX	78748	21-22 College Forward ACTX		2.0						10701 S 1st St, Austin, TX 78748	(30.14970839999999, -97.80025900000001)	10701 S 1st St, Austin, TX 78748, USA
234	Connally High School	Education-K thru 12	13212 N Lamar Boulevard	Austin	TX	78753	21-22 College Forward ACTX		3.0						13212 N Lamar Boulevard, Austin, TX 78753	(30.41821, -97.67634609999999)	13212 N Lamar Blvd, Austin, TX 78753, USA
235	Crockett High School	Education-K thru 12	5601 Menchaca Road	Austin	TX	78745	21-22 College Forward ACTX		5.0						5601 Menchaca Road, Austin, TX 78745	(30.2147211, -97.7974133)	5601 Menchaca Rd, Austin, TX 78745, USA
236	Del Valle High School	Education-K thru 12	5201 Ross Road	Del Valle	TX	78617	21-22 College Forward ACTX		3.0						5201 Ross Road, Del Valle, TX 78617	(30.18012419999999, -97.61226889999999)	5201 Ross Rd, Del Valle, TX 78617, USA
237	Elgin High School	Education-K thru 12	14000 County Line Road	Elgin	TX	78621	21-22 College Forward ACTX		1.0						14000 County Line Road, Elgin, TX 78621	(30.3673701, -97.40594030000001)	14000 County Line Rd, Elgin, TX 78621, USA
238	Hays High School	Education-K thru 12	4800 Jack C Hays Trail	Buda	TX	78610	21-22 College Forward ACTX		4.0						4800 Jack C Hays Trail, Buda, TX 78610	(30.0331292, -97.8887433)	4800 Jack C Hays Trail, Buda, TX 78610, USA
239	Juan Navarro High School	Education-K thru 12	1201 Payton Gin Road	Austin	TX	78758	21-22 College Forward ACTX		2.0						1201 Payton Gin Road, Austin, TX 78758	(30.3602094, -97.7083219)	1201 Payton Gin Rd, Austin, TX 78758, USA
240	Lehman High School	Education-K thru 12	1700 Lehman Road	Kyle	TX	78640	21-22 College Forward ACTX		2.0						1700 Lehman Road, Kyle, TX 78640	(29.9970781, -97.85091159999999)	1700 Lehman Rd, Kyle, TX 78640, USA
241	Lyndon B. Johnson High School	Education-K thru 12	7309 Lazy Creek Dr	Austin	TX	78724	21-22 College Forward ACTX		1.0						7309 Lazy Creek Dr, Austin, TX 78724	(30.313495, -97.6566673)	7309 Lazy Creek Dr, Austin, TX 78724, USA
242	Manor High School	Education-K thru 12	12700 Gregg Manor Road	Manor	TX	78653	21-22 College Forward ACTX		1.0						12700 Gregg Manor Road, Manor, TX 78653	(30.3529248, -97.563403)	12700 Gregg Manor Rd, Manor, TX 78653, USA
243	Stony Point High School	Education-K thru 12	1801 Tiger Trail	Round Rock	TX	78664	21-22 College Forward ACTX		1.0						1801 Tiger Trail, Round Rock, TX 78664	(30.5299986, -97.66142339999999)	1801 Tiger Trail, Round Rock, TX 78664, USA
244	Travis High School	Education-K thru 12	1211 East Oltorf Street	Austin	TX	78704	21-22 College Forward ACTX		3.0						1211 East Oltorf Street, Austin, TX 78704	(30.23203, -97.7450654)	1211 E Oltorf St, Austin, TX 78704, USA
245	Weiss High School	Education-K thru 12	5201 Wolf Pack Drive	Pflugerville	TX	78660	21-22 College Forward ACTX		2.0						5201 Wolf Pack Drive, Pflugerville, TX 78660	(30.4287196, -97.5653031)	5201 Wolf Pack Dr, Pflugerville, TX 78660, USA
246	Austin Community College	Education-College/University	6101 Highland Campus Dr	Austin	TX	78752	21-22 College Forward ACTX		8.0			2			6101 Highland Campus Dr, Austin, TX 78752	(30.3270093, -97.7144811)	6101 Highland Campus Dr, Austin, TX 78752, USA
247	Texas State University	Education-College/University	601 University Drive	San Marcos	TX	78666	21-22 College Forward ACTX		2.0			7			601 University Drive, San Marcos, TX 78666	(29.8888838, -97.9430682)	601 University Dr, San Marcos, TX 78666, USA
248	Bastrop County Emergency Food Bank	Nonprofit	806 Fayette St	Bastrop	TX	78602-3029	21-22 Equal Heart ACTX				2.0				806 Fayette St, Bastrop, TX 78602-3029	(30.1089417, -97.3132017)	806 Fayette St, Bastrop, TX 78602, USA
249	Bedford Arts	Nonprofit	2816 Central Dr, #140	Bedford	TX	76021-7887	21-22 Equal Heart ACTX				3.0		3		2816 Central Dr, #140, Bedford, TX 76021-7887	(32.8515113, -97.1296582)	2816 Central Dr # 140, Bedford, TX 76021, USA
250	Behind Every Door	Nonprofit	2824 Swiss Ave	Dallas	TX	75204-5956	21-22 Equal Heart ACTX						6		2824 Swiss Ave, Dallas, TX 75204-5956	(32.7881428, -96.7859182)	2824 Swiss Ave, Dallas, TX 75204, USA
251	Brazoria County Dream Center	Nonprofit	792 Brazoport Blvd	Clute	TX	77531-5712	21-22 Equal Heart ACTX			3	5.0				792 Brazoport Blvd, Clute, TX 77531-5712	(29.03265979999999, -95.39863799999999)	792 Brazosport Blvd N, Clute, TX 77531, USA
252	Catholic Charities of San Antonio 	Nonprofit	"1801 W Cesar Chavez Blvd
"	San Antonio	TX	78207-0100	21-22 Equal Heart ACTX				4.0		8		1801 W Cesar Chavez Blvd, San Antonio, TX 78207-0100	(29.4233518, -98.517652)	1801 W César E Chávez Blvd, San Antonio, TX 78207, USA
253	Cornerstone Baptist Church	Nonprofit	1819 Martin L King Jr Blvd	Dallas	TX	75215-2806	21-22 Equal Heart ACTX		2.0				4		1819 Martin L King Jr Blvd, Dallas, TX 75215-2806	(32.7630543, -96.7763066)	1819 Martin Luther King Jr Blvd, Dallas, TX 75215, USA
254	Duncanville Fieldhouse	Nonprofit	1700 S Main St	Duncanville	TX	75137-4402	21-22 Equal Heart ACTX						20		1700 S Main St, Duncanville, TX 75137-4402	(32.6279803, -96.90733)	1700 S Main St, Duncanville, TX 75137, USA
255	El Pasoans Fighting Hunger	Nonprofit	9541 Plaza Circle	El Paso	TX	79927-2005	21-22 Equal Heart ACTX				10.0	25			9541 Plaza Circle, El Paso, TX 79927-2005	(31.6703224, -106.3239897)	9541 Plaza Cir, El Paso, TX 79927, USA
256	Equal Heart	Nonprofit	2862 Nagle St	Dallas	TX	75220-4530	21-22 Equal Heart ACTX	6					11		2862 Nagle St, Dallas, TX 75220-4530	(32.863428, -96.8759395)	2862 Nagle St, Dallas, TX 75220, USA
257	High Plains Food Bank	Nonprofit	815 Ross St 	Amarillo	TX	79102-3431	21-22 Equal Heart ACTX					8			815 Ross St, Amarillo, TX 79102-3431	(35.2018188, -101.8146664)	815 Ross St, Amarillo, TX 79102, USA
258	Highland Church of Christ/Christian Ministries Food Bank	Nonprofit	701 Walnut Street	Abilene 	TX	79605-5227	21-22 Equal Heart ACTX				3.0		4		701 Walnut Street, Abilene, TX 79605-5227	(32.455868, -99.7307137)	701 Walnut St, Abilene, TX 79601, USA
259	Jubilee Park & Community Center	Nonprofit	907 Bank St	Dallas	TX	75223-2819	21-22 Equal Heart ACTX		5.0						907 Bank St, Dallas, TX 75223-2819	(32.7868166, -96.75968739999999)	907 Bank St, Dallas, TX 75223, USA
260	Kids-U	Nonprofit	8515 Greenville Ave, Ste N214	Dallas	TX	75243-7010	21-22 Equal Heart ACTX		5.0				12		8515 Greenville Ave, Ste N214, Dallas, TX 75243-7010	(32.894648, -96.7543342)	8515 Greenville Ave n214, Dallas, TX 75243, USA
261	Lullaby House 	Nonprofit	7441 Marvin D Love Fwy, Ste 201	Dallas	TX	75237-3770	21-22 Equal Heart ACTX			2	4.0				7441 Marvin D Love Fwy, Ste 201, Dallas, TX 75237-3770	(32.6576072, -96.8758557)	7441 Marvin D. Love Fwy #201, Dallas, TX 75237, USA
262	New Braunfels Food Bank	Nonprofit	1620 S. Seguin Ave	New Braunfels	TX	78130-3857	21-22 Equal Heart ACTX				4.0		10		1620 S. Seguin Ave, New Braunfels, TX 78130-3857	(29.68486129999999, -98.10847109999999)	1620 S Seguin Ave, New Braunfels, TX 78130, USA
263	North Texas Food Bank	Nonprofit	"3677 Mapleshade Ln
"	Plano	TX	"75075-5753
"	21-22 Equal Heart ACTX				2.0				3677 Mapleshade Ln, Plano, TX 75075-5753	(33.0041538, -96.7596038)	3677 Mapleshade Ln, Plano, TX 75075, USA
264	San Antonio Food Bank	Nonprofit	5200 Enrique M Barrera Pkwy	San Antonio	TX	78227-2209	21-22 Equal Heart ACTX				9.0	10			5200 Enrique M Barrera Pkwy, San Antonio, TX 78227-2209	(29.4177295, -98.5910907)	5200 Enrique M. Barrera Pkwy, San Antonio, TX 78227, USA
265	Trust for Public Land	Nonprofit	325 N Saint Paul St, Ste 2210	Dallas	TX	75201-3811	21-22 Equal Heart ACTX				2.0		4		325 N Saint Paul St, Ste 2210, Dallas, TX 75201-3811	(32.7831482, -96.7974978)	325 North St. Paul Street Suite 2210, Dallas, TX 75201, USA
266	Viola's House	Nonprofit	1819 Martin Luther King, Jr. Blvd	Dallas	TX	75215-2806	21-22 Equal Heart ACTX			2	4.0				1819 Martin Luther King, Jr. Blvd, Dallas, TX 75215-2806	(32.7630543, -96.7763066)	1819 Martin Luther King Jr Blvd, Dallas, TX 75215, USA
267	Caring Foundation	Nonprofit	1001 Lookout Road	Richardson	TX	75082-4144	21-22 Equal Heart ACTX				2.0				1001 Lookout Road, Richardson, TX 75082-4144	(32.987766, -96.7072429)	1001 E Lookout Dr, Richardson, TX 75082, USA
268	Inspired Vision	Nonprofit	2019 N Masters Dr 	Dallas	TX	75217-3148	21-22 Equal Heart ACTX						10		2019 N Masters Dr, Dallas, TX 75217-3148	(32.7474371, -96.64962969999999)	2019 N Masters Dr, Dallas, TX 75217, USA
269	Household of Faith	Nonprofit	5001 New York Ave	Arlington	TX	76018-4904	21-22 Equal Heart ACTX						4		5001 New York Ave, Arlington, TX 76018-4904	(32.6651168, -97.0757699)	5001 New York Ave, Arlington, TX 76018, USA
270	South Texas Juvenile Diabeties Association	Nonprofit	313 W Nolana Ave	McAllen	TX	78504 -2514	21-22 Equal Heart ACTX						3		313 W Nolana Ave, McAllen, TX 78504 -2514	(26.2378515, -98.2167599)	313 W Nolana Ave, McAllen, TX 78504, USA
271	Front Steps: Permanent Supportive Housing	Nonprofit	2211 S IH-35 Frontage Rd	Austin	TX	78741	21-22 Front Steps ACTX	1							2211 S IH-35 Frontage Rd, Austin, TX 78741	(30.2347332, -97.73950599999999)	2211 S I-35 Frontage Rd, Austin, TX 78741, USA
272	Front Steps: ARCH	Nonprofit	500 E 7th St	Austin	TX	78701	21-22 Front Steps ACTX	3							500 E 7th St, Austin, TX 78701	(30.2678638, -97.7375115)	500 E 7th St, Austin, TX 78701, USA
273	Caritas: Permanent Supportive Housing	Nonprofit	611 Neches St	Austin	TX	78701	21-22 Front Steps ACTX	2							611 Neches St, Austin, TX 78701	(30.2673586, -97.7377236)	611 Neches St, Austin, TX 78701, USA
274	Trinity Center	Nonprofit	304 E 7th St	Austin	TX	78701	21-22 Front Steps ACTX	1							304 E 7th St, Austin, TX 78701	(30.2684973, -97.7394765)	304 E 7th St, Austin, TX 78701, USA
275	The Other Ones Foundation: Workforce First	Nonprofit	780 S Hwy 183	Austin	TX	78741	21-22 Front Steps ACTX	1							780 S Hwy 183, Austin, TX 78741	(30.2303058, -97.68672459999999)	780 S Hwy 183, Austin, TX 78741, USA
276	The Other Ones Foundation: Camp Esperanza	Nonprofit	781 S Hwy 183	Austin	TX	78741	21-22 Front Steps ACTX	1							781 S Hwy 183, Austin, TX 78741	(30.2293565, -97.68305959999999)	781 S Hwy 183, Austin, TX 78741, USA
277	Sunrise Homeless Navigation Center	Nonprofit	4430 Manchaca Rd	Austin	TX	78745	21-22 Front Steps ACTX	1							4430 Manchaca Rd, Austin, TX 78745	(30.2287841, -97.78957779999999)	4430 Menchaca Rd, Austin, TX 78745, USA
278	SAFE: Kelly White Family Shelter	Nonprofit	1401 Grove Blvd	Austin	TX	78741	21-22 Front Steps ACTX	2							1401 Grove Blvd, Austin, TX 78741	(30.2324447, -97.70539509999999)	1401 Grove Blvd, Austin, TX 78741, USA
279	SAFE: Community Resource Advocacy	Nonprofit	1402 Grove Blvd	Austin	TX	78741	21-22 Front Steps ACTX	2							1402 Grove Blvd, Austin, TX 78741	(30.2300926, -97.70634229999999)	1402 Grove Blvd, Austin, TX 78741, USA
280	SAFE: Life Skills Program / Community Resource Advocacy 	Nonprofit	1403 Grove Blvd	Austin	TX	78741	21-22 Front Steps ACTX	1							1403 Grove Blvd, Austin, TX 78741	(30.2322352, -97.7051844)	1403 Grove Blvd, Austin, TX 78741, USA
281	Casa Marianella: Posada Esperanza	Nonprofit	821 Gunter St	Austin	TX	78702	21-22 Front Steps ACTX	4							821 Gunter St, Austin, TX 78702	(30.2598728, -97.7010052)	821 Gunter St, Austin, TX 78702, USA
282	Foundation Communities	Nonprofit	3000 S IH 35 Frontage Rd #300	Austin	TX	78704	21-22 Front Steps ACTX	1							3000 S IH 35 Frontage Rd #300, Austin, TX 78704	(30.2273054, -97.7461563)	3000 S I-35 Frontage Rd #300, Austin, TX 78704, USA
283	Goodwill Industries of Central Texas: Ready to Work/WERC	Nonprofit	6505 Burleson Rd	Austin	TX	78744	21-22 Front Steps ACTX	2							6505 Burleson Rd, Austin, TX 78744	(30.2035545, -97.7143394)	6505 Burleson Rd, Austin, TX 78744, USA
284	Goodwill Industries of Central Texas, Best Single Source Plus (BSS+)	Nonprofit	2001 Rosewood Ave	Austin	TX	78702	21-22 Front Steps ACTX	1							2001 Rosewood Ave, Austin, TX 78702	(30.2693339, -97.718312)	2001 Rosewood Ave, Austin, TX 78702, USA
285	Family Eldercare: Money Management	Nonprofit	1700 Rutherford Ln	Austin	TX	78754	21-22 Front Steps ACTX	2							1700 Rutherford Ln, Austin, TX 78754	(30.3343235, -97.6796533)	1700 Rutherford Ln, Austin, TX 78754, USA
286	LifeWorks: Residential Program	Nonprofit	3700 S 1st St	Austin	TX	78704	21-22 Front Steps ACTX	1							3700 S 1st St, Austin, TX 78704	(30.2291708, -97.76836879999999)	3700 S 1st St, Austin, TX 78704, USA
287	LifeWorks: Street Outreach	Nonprofit	835 N Pleasant Valley Rd	Austin	TX	78702	21-22 Front Steps ACTX	2							835 N Pleasant Valley Rd, Austin, TX 78702	(30.2644537, -97.70802499999999)	835 N Pleasant Valley Rd, Austin, TX 78702, USA
288	LifeWorks: Young Parents Program	Nonprofit	3700 S 1st St	Austin	TX	78704	21-22 Front Steps ACTX	1							3700 S 1st St, Austin, TX 78704	(30.2291708, -97.76836879999999)	3700 S 1st St, Austin, TX 78704, USA
289	LifeWorks: After Care Transitional Services / Diversion 	Nonprofit	835 N Pleasant Valley Rd	Austin	TX	78702	21-22 Front Steps ACTX	1							835 N Pleasant Valley Rd, Austin, TX 78702	(30.2644537, -97.70802499999999)	835 N Pleasant Valley Rd, Austin, TX 78702, USA
290	STEM Center of Excellence	Nonprofit	6010 Whispering Cedars Drive	Dallas	TX	75236-1314	21-22 Girl Scouts of Northeast Texas ACTX	2		12	16.0	20			6010 Whispering Cedars Drive, Dallas, TX 75236-1314	(32.687785, -96.9277917)	6010 Whispering Cedar Dr, Dallas, TX 75236, USA
291	JoAnn Fogg Service Center	Nonprofit	6001 Summerside Drive	Dallas	TX	75252-5334	21-22 Girl Scouts of Northeast Texas ACTX			6		1			6001 Summerside Drive, Dallas, TX 75252-5334	(32.9904701, -96.8035349)	6001 Summerside Dr, Dallas, TX 75252, USA
292	Southern Sector Service Center	Nonprofit	8705 S. Hampton Road	Dallas	TX	75232-5116	21-22 Girl Scouts of Northeast Texas ACTX	2		14					8705 S. Hampton Road, Dallas, TX 75232-5116	(32.6419975, -96.85776829999999)	8705 S Hampton Rd, Dallas, TX 75232, USA
293	St. Luke United Methodist Church	Nonprofit	1306 West Lynn St	Austin	TX	78703-3956	21-22 Imagine Art ACTX	7		3					1306 West Lynn St, Austin, TX 78703-3956	(30.2813519, -97.75892340000001)	1306 W Lynn St, Austin, TX 78703, USA
294	The Austin Harmony Project	Nonprofit	1806 W. Stassney Ln, Ste. 106	Austin	TX	78703-3956	21-22 Imagine Art ACTX	1		1					1806 W. Stassney Ln, Ste. 106, Austin, TX 78703-3956	(30.2148077, -97.7954812)	1806 W Stassney Ln # 106, Austin, TX 78745, USA
295	The ARC of the Capitol Area	Nonprofit	4902 Grover Ave	Austin	TX	78703-3956	21-22 Imagine Art ACTX	3		1					4902 Grover Ave, Austin, TX 78703-3956	(30.3192419, -97.7368537)	4902 Grover Ave, Austin, TX 78756, USA
296	Foundation Communities	Nonprofit	2600 W Stassney Ln	Austin	TX	78745-3401	21-22 Literacy Coalition of Central Texas ACTX	3							2600 W Stassney Ln, Austin, TX 78745-3401	(30.2192123, -97.806248)	2600 W Stassney Ln, Austin, TX 78745, USA
297	Housing Authority of Travis County	Nonprofit	502 E Highland Mall Blvd	Austin	TX	78752-3722	21-22 Literacy Coalition of Central Texas ACTX	1							502 E Highland Mall Blvd, Austin, TX 78752-3722	(30.3283147, -97.70946719999999)	502 E Highland Mall Blvd, Austin, TX 78752, USA
298	Housing Authority of the City of Austin	Nonprofit	1124 S Ih Frontage Rd	Austin	TX	78704-2614	21-22 Literacy Coalition of Central Texas ACTX	2							1124 S Ih Frontage Rd, Austin, TX 78704-2614	(30.2457495, -97.8079243)	Frontage Rd, Austin, TX, USA
299	Goodwill Community Center	Nonprofit	1015 Norwood Park Blvd	Austin	TX	78753-6608	21-22 Literacy Coalition of Central Texas ACTX	3							1015 Norwood Park Blvd, Austin, TX 78753-6608	(30.33925349999999, -97.693913)	1015 Norwood Park Blvd, Austin, TX 78753, USA
300	iACT	Nonprofit	2921 E 17th Street, Bldg D, Ste 3	Austin	TX	78702-1509	21-22 Literacy Coalition of Central Texas ACTX	1							2921 E 17th Street, Bldg D, Ste 3, Austin, TX 78702-1509	(30.278543, -97.7100801)	2921 E 17th St d 3, Austin, TX 78702, USA
301	Lifeworks	Nonprofit	3700 South 1st Street	Austin	TX	78704-7046	21-22 Literacy Coalition of Central Texas ACTX	2							3700 South 1st Street, Austin, TX 78704-7046	(30.2291708, -97.76836879999999)	3700 S 1st St, Austin, TX 78704, USA
302	Casa Marianella	Nonprofit	821 Gunter St	Austin	TX	 78702-4020	21-22 Literacy Coalition of Central Texas ACTX	3							821 Gunter St, Austin, TX 78702-4020	(30.2598728, -97.7010052)	821 Gunter St, Austin, TX 78702, USA
303	Literacy Coalition of Central Texas 	Nonprofit	724 Eberhart Lane	Austin	TX	78745-3938	21-22 Literacy Coalition of Central Texas ACTX	9							724 Eberhart Lane, Austin, TX 78745-3938	(30.2015311, -97.7864141)	724 Eberhart Ln, Austin, TX 78745, USA
304	Todos Juntos	Nonprofit	409 W Ben White Blvd	Austin	TX	78704-7027	21-22 Literacy Coalition of Central Texas ACTX	1							409 W Ben White Blvd, Austin, TX 78704-7027	(30.2244523, -97.76785939999999)	409 W Ben White Blvd, Austin, TX 78704, USA
305	Community Action	Nonprofit	101 Uhland Road, Suite 107	San Marcos	TX	78667-0748	21-22 Literacy Coalition of Central Texas ACTX	1							101 Uhland Road, Suite 107, San Marcos, TX 78667-0748	(29.8991597, -97.9173664)	101 Uhland Rd Ste 107, San Marcos, TX 78666, USA
306	El Buen Samaritano	Nonprofit	7000 Woodhue Dr.	Austin	TX	78745-5454	21-22 Literacy Coalition of Central Texas ACTX	1							7000 Woodhue Dr., Austin, TX 78745-5454	(30.1992941, -97.8021703)	7000 Woodhue Dr, Austin, TX 78745, USA
307	Goodwill Excel Center	Nonprofit	1015 Norwood Park Blvd	Austin	TX	78753-6608	21-22 Literacy Coalition of Central Texas ACTX	4							1015 Norwood Park Blvd, Austin, TX 78753-6608	(30.33925349999999, -97.693913)	1015 Norwood Park Blvd, Austin, TX 78753, USA
